label,checkpoint,layer,seed,tokens,n_routed_experts,num_experts_per_tok,moe_latent_size,expected_per_expert,min_ratio,max_ratio,cv,entropy_norm
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,2,1,200000,64,4,256,12500.0,0.8555200099945068,1.1640000343322754,0.0699210911989212,0.9994146823883057
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,2,2,200000,64,4,256,12500.0,0.8454399704933167,1.1896799802780151,0.06916943937540054,0.999427855014801
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,2,3,200000,64,4,256,12500.0,0.8631200194358826,1.1564799547195435,0.06985034048557281,0.999415934085846
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,2,4,200000,64,4,256,12500.0,0.848800003528595,1.1596800088882446,0.06916044652462006,0.9994267225265503
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,2,5,200000,64,4,256,12500.0,0.8630399703979492,1.173200011253357,0.06723711639642715,0.9994586110115051
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,5,1,200000,64,4,256,12500.0,0.802079975605011,1.1546399593353271,0.06990280747413635,0.9994077086448669
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,5,2,200000,64,4,256,12500.0,0.8002399802207947,1.1395200490951538,0.06691116839647293,0.9994556307792664
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,5,3,200000,64,4,256,12500.0,0.811680018901825,1.146880030632019,0.06966656446456909,0.9994117021560669
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,5,4,200000,64,4,256,12500.0,0.7991200089454651,1.1507200002670288,0.06975079327821732,0.9994089603424072
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,5,5,200000,64,4,256,12500.0,0.7981600165367126,1.1586400270462036,0.0686667189002037,0.9994271993637085
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,8,1,200000,64,4,256,12500.0,0.8727999925613403,1.2216800451278687,0.06149468570947647,0.9995492696762085
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,8,2,200000,64,4,256,12500.0,0.8756800293922424,1.2289600372314453,0.06482312828302383,0.9994993209838867
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,8,3,200000,64,4,256,12500.0,0.8713600039482117,1.2067999839782715,0.061015933752059937,0.999555230140686
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,8,4,200000,64,4,256,12500.0,0.8840000033378601,1.2339199781417847,0.06281514465808868,0.9995297789573669
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,8,5,200000,64,4,256,12500.0,0.8666399717330933,1.2228800058364868,0.06339482963085175,0.9995194673538208
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,11,1,200000,64,4,256,12500.0,0.8548799753189087,1.1455999612808228,0.06724930554628372,0.9994519352912903
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,11,2,200000,64,4,256,12500.0,0.8461599946022034,1.1698399782180786,0.06915435194969177,0.9994235038757324
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,11,3,200000,64,4,256,12500.0,0.8554400205612183,1.1773600578308105,0.0691746324300766,0.9994224905967712
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,11,4,200000,64,4,256,12500.0,0.8536800146102905,1.1530400514602661,0.06812342256307602,0.9994384050369263
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,11,5,200000,64,4,256,12500.0,0.8424000144004822,1.158959984779358,0.0704779177904129,0.9993987679481506
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,14,1,200000,64,4,256,12500.0,0.8667200207710266,1.150879979133606,0.05792484059929848,0.9995980262756348
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,14,2,200000,64,4,256,12500.0,0.8731200098991394,1.1405600309371948,0.05638902261853218,0.9996187686920166
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,14,3,200000,64,4,256,12500.0,0.8784000277519226,1.1328799724578857,0.05724247172474861,0.9996068477630615
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,14,4,200000,64,4,256,12500.0,0.870959997177124,1.1429599523544312,0.059296343475580215,0.9995787739753723
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,14,5,200000,64,4,256,12500.0,0.8869600296020508,1.137760043144226,0.05735156685113907,0.9996072053909302
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,17,1,200000,64,4,256,12500.0,0.8620799779891968,1.2238399982452393,0.06897802650928497,0.9994304180145264
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,17,2,200000,64,4,256,12500.0,0.8643199801445007,1.233199954032898,0.07003060728311539,0.9994149208068848
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,17,3,200000,64,4,256,12500.0,0.8543199896812439,1.2205599546432495,0.06742964684963226,0.9994556307792664
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,17,4,200000,64,4,256,12500.0,0.8588799834251404,1.2139999866485596,0.06809399276971817,0.9994450807571411
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,17,5,200000,64,4,256,12500.0,0.846560001373291,1.2086399793624878,0.0689748078584671,0.9994292259216309
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,20,1,200000,64,4,256,12500.0,0.8191999793052673,1.134719967842102,0.06094755977392197,0.9995480179786682
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,20,2,200000,64,4,256,12500.0,0.8349599838256836,1.1416000127792358,0.06258750706911087,0.9995241761207581
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,20,3,200000,64,4,256,12500.0,0.8265600204467773,1.1351200342178345,0.062170010060071945,0.9995306134223938
latent_h1024_l256_e64_k4,/capstor/scratch/cscs/bsezen/tmp/nemotron-h-router-latent-h1024-l256-e64-k4-s29,20,4,200000,64,4,256,12500.0,0.843999981880188,1.135599970817566,0.06041933223605156,0.9995580911636353
